,Date,countyFIPS,StateFIPS,Cases,Death,Population,new_cases,new_deaths,Normalized cases,Normalized deaths,Log normalized cases,Log normalized deaths
385,2021-02-11,95465426,95140,26825084,464657,328239523,105697.0,4010.0,1464.3514731715784,50.15638833149971,162.54929498449937,10.340263668527358
386,2021-02-12,95465426,95140,26921931,470027,328239523,96847.0,5370.0,1336.4198727780247,56.77964694004861,157.23521398094397,7.363156508162409
387,2021-02-13,95465426,95140,27013544,473258,328239523,91613.0,3231.0,1159.697472514105,34.06534097939585,136.52916166555949,3.7296693253447053
388,2021-02-14,95465426,95140,27083504,474708,328239523,69960.0,1450.0,895.4266504947313,13.782907203719443,120.03152146098608,0.5938604463369029
389,2021-02-15,95465426,95140,27138426,475753,328239523,54922.0,1045.0,770.8850670180524,11.603515193847398,117.93150410579253,0.6005576213668425
390,2021-02-16,95465426,95140,27199490,477123,328239523,61064.0,1370.0,924.5109582762578,21.80213337812169,133.74108368669218,1.7132089544113018
391,2021-02-17,95465426,95140,27266217,479412,328239523,66727.0,2289.0,1186.9212476464768,38.35552069777966,143.88732753982177,5.552769760241217
392,2021-02-18,95465426,95140,27330735,482030,328239523,64518.0,2618.0,958.3888305716057,34.49921396688946,139.82369256396834,3.784685775128145
393,2021-02-19,95465426,95140,27403893,485530,328239523,73158.0,3500.0,1111.6548042907777,68.09410749402402,146.41671949872025,7.802749611643406
394,2021-02-20,95465426,95140,27475788,487519,328239523,71895.0,1989.0,877.2162818769267,21.891224394276605,124.84717610199857,1.2620183598046069
395,2021-02-21,95465426,95140,27533248,488779,328239523,57460.0,1260.0,795.4215640935314,13.066700581056322,119.59989233782494,0.6763517001756859
396,2021-02-22,95465426,95140,27582228,490000,328239523,48980.0,1221.0,714.056025726712,13.389866473535786,118.75308486390657,0.9344370893424836
397,2021-02-23,95465426,95140,27644541,491998,328239523,62313.0,1998.0,770.4193443643652,26.10149597570545,115.53402357123156,2.989594990530844
398,2021-02-24,95465426,95140,27720129,494838,328239523,75588.0,2840.0,1248.099137503334,52.5750953878131,146.35468216660303,8.461316469659089
399,2021-02-25,95465426,95140,27793521,497980,328239523,73392.0,3142.0,1078.103324481308,32.59360995431434,142.36208854846018,3.465494415891477
400,2021-02-26,95465426,95140,27855300,500090,328239523,61779.0,2110.0,892.9970414524743,25.012349155760255,132.6742883220535,1.3531150685639104
401,2021-02-27,95465426,95140,27940596,501910,328239523,85296.0,1820.0,1158.3705628853959,19.335158744278424,126.03039983315125,1.619103391484623
402,2021-02-28,95465426,95140,27990548,502966,328239523,49952.0,1056.0,739.6045402667341,10.75842659432689,105.35481882706485,0.8968338306201116
403,2021-03-01,95465426,95140,28068520,504299,328239523,77972.0,1333.0,769.9810339695428,19.36241663947041,113.2602134803241,2.7847435240337206
